Key,Match,Innings,TotalRuns,Runs,Balls,Out,TotalOut,Average,Sr,Hs,Fifty,TotalFifty,Hundred,TotalHundred,Fours,Sixes,Dot,Venue,,VenueIndex,VenueExp
ipl2012_05,1,1,8,8,8,1,1,8,100.00,8,0,0,0,0,1,0,50,M Chinnaswamy Stadium,,1,
ipl2012_10,2,1,14,6,14,1,2,7,42.86,6,0,0,0,0,1,0,78.6,MA Chidambaram Stadium,,2,
ipl2012_13,3,1,71,57,46,1,3,23.66666667,123.91,57,1,1,0,0,5,2,39.1,M Chinnaswamy Stadium,,1,
ipl2012_18,4,1,93,22,18,1,4,23.25,122.22,22,0,1,0,0,2,0,22.2,M Chinnaswamy Stadium,,1,
ipl2012_21,5,1,109,16,19,1,5,21.8,84.21,16,0,1,0,0,1,0,36.8,Punjab Cricket Association IS Bindra Stadium,,3,
ipl2012_25,6,1,113,4,4,1,6,18.83333333,100.00,4,0,1,0,0,1,0,75,Sawai Mansingh Stadium,,4,
ipl2012_30,7,1,129,16,16,1,7,18.42857143,100.00,16,0,1,0,0,2,0,50,M Chinnaswamy Stadium,,1,
ipl2012_38,8,1,147,18,19,1,8,18.375,94.74,18,0,1,0,0,3,0,57.9,Eden Gardens,,5,
ipl2012_44,9,1,192,45,42,1,9,21.33333333,107.14,45,0,1,0,0,3,2,40.5,M Chinnaswamy Stadium,,1,
ipl2012_50,10,1,201,9,9,1,10,20.1,100.00,9,0,1,0,0,1,0,44.4,M Chinnaswamy Stadium,,1,
ipl2012_54,11,1,237,36,25,0,10,23.7,144.00,36,0,1,0,0,1,2,20,Wankhede Stadium,,6,
ipl2012_57,12,1,246,9,12,1,11,22.36363636,75.00,9,0,1,0,0,1,0,50,Maharashtra Cricket Association Stadium,,7,
ipl2012_62,13,1,249,3,1,1,12,20.75,300.00,3,0,1,0,0,0,0,0,M Chinnaswamy Stadium,,1,
ipl2012_67,14,1,323,74,53,0,12,26.91666667,139.62,74,1,2,0,0,9,1,30.2,Arun Jaitley Stadium,,8,
ipl2012_71,15,1,365,42,40,1,13,28.07692308,105.00,42,0,2,0,0,2,3,52.5,Rajiv Gandhi International Stadium,,9,
ipl2013_02,16,1,389,24,14,1,14,27.78571429,171.43,24,0,2,0,0,4,1,50,M Chinnaswamy Stadium,,1,
ipl2013_07,17,1,435,46,44,1,15,29,104.55,46,0,2,0,0,5,1,47.7,Rajiv Gandhi International Stadium,,9,
ipl2013_09,18,1,528,93,47,0,15,35.2,197.87,93,1,3,0,0,11,4,34,M Chinnaswamy Stadium,,1,
ipl2013_12,19,1,563,35,27,1,16,35.1875,129.63,35,0,3,0,0,4,2,55.6,M Chinnaswamy Stadium,,1,
ipl2013_16,20,1,621,58,47,1,17,36.52941176,123.40,58,1,4,0,0,2,2,31.9,MA Chidambaram Stadium,,2,
ipl2013_21,21,1,686,65,50,1,18,38.11111111,130.00,65,1,5,0,0,7,1,38,M Chinnaswamy Stadium,,1,
ipl2013_27,22,1,687,1,4,1,19,36.15789474,25.00,1,0,5,0,0,0,0,100,M Chinnaswamy Stadium,,1,
ipl2013_31,23,1,698,11,9,1,20,34.9,122.22,11,0,5,0,0,0,1,33.3,M Chinnaswamy Stadium,,1,
ipl2013_37,24,1,699,1,4,1,21,33.28571429,25.00,1,0,5,0,0,0,0,75,Wankhede Stadium,,6,
ipl2013_40,25,1,731,32,35,1,22,33.22727273,91.43,32,0,5,0,0,3,0,42.9,Sawai Mansingh Stadium,,4,
ipl2013_46,26,1,756,25,18,1,23,32.86956522,138.89,25,0,5,0,0,3,0,16.7,Maharashtra Cricket Association Stadium,,7,
ipl2013_51,27,1,770,14,14,1,24,32.08333333,100.00,14,0,5,0,0,1,0,50,Punjab Cricket Association IS Bindra Stadium,,3,
ipl2013_57,28,1,869,99,58,1,25,34.76,170.69,99,1,6,0,0,10,4,25.9,Arun Jaitley Stadium,,8,
ipl2013_60,29,1,886,17,14,1,26,34.07692308,121.43,17,0,6,0,0,2,0,35.7,JSCA International Stadium Complex,,10,
ipl2013_63,30,1,944,58,43,1,27,34.96296296,134.88,58,1,7,0,0,6,2,34.9,M Chinnaswamy Stadium,,1,
ipl2013_70,31,1,1000,56,29,0,27,37.03703704,193.10,56,1,8,0,0,6,4,41.4,M Chinnaswamy Stadium,,1,
ipl2014_02,32,1,1049,49,38,0,27,38.85185185,128.95,49,0,8,0,0,2,3,31.6,Sharjah Cricket Stadium,,11,
ipl2014_05,33,1,1049,0,2,1,28,37.46428571,0.00,0,0,8,0,0,0,0,100,Dubai International Cricket Stadium,,12,
ipl2014_11,34,1,1080,31,23,1,29,37.24137931,134.78,31,0,8,0,0,4,0,30.4,Sharjah Cricket Stadium,,11,
ipl2014_14,35,1,1101,21,25,1,30,36.7,84.00,21,0,8,0,0,3,0,52,Sheikh Zayed Stadium,,13,
ipl2014_18,36,1,1105,4,2,1,31,35.64516129,200.00,4,0,8,0,0,1,0,50,Dubai International Cricket Stadium,,12,
ipl2014_24,37,1,1105,0,5,1,32,34.53125,0.00,0,0,8,0,0,0,0,120,M Chinnaswamy Stadium,,1,
ipl2014_27,38,1,1140,35,28,1,33,34.54545455,125.00,35,0,8,0,0,2,2,39.3,Wankhede Stadium,,6,
ipl2014_31,39,1,1140,0,1,1,34,33.52941176,0.00,0,0,8,0,0,0,0,100,M Chinnaswamy Stadium,,1,
ipl2014_35,40,1,1144,4,9,1,35,32.68571429,44.44,4,0,8,0,0,1,0,88.9,M Chinnaswamy Stadium,,1,
ipl2014_38,41,1,1154,10,11,1,36,32.05555556,90.91,10,0,8,0,0,0,0,27.3,M Chinnaswamy Stadium,,1,
ipl2014_42,42,1,1181,27,29,1,37,31.91891892,93.10,27,0,8,0,0,1,1,41.4,JSCA International Stadium Complex,,10,
ipl2014_46,43,1,1248,67,41,1,38,32.84210526,163.41,67,1,9,0,0,4,4,26.8,Rajiv Gandhi International Stadium,,9,
ipl2014_49,44,1,1286,38,31,1,39,32.97435897,122.58,38,0,9,0,0,3,1,29,Eden Gardens,,5,
ipl2014_53,45,1,1359,73,49,1,40,33.975,148.98,73,1,10,0,0,2,5,36.7,M Chinnaswamy Stadium,,1,
ipl2015_05,46,1,1372,13,15,1,41,33.46341463,86.67,13,0,10,0,0,0,1,60,Eden Gardens,,5,
ipl2015_08,47,1,1413,41,37,1,42,33.64285714,110.81,41,0,10,0,0,4,2,64.9,M Chinnaswamy Stadium,,1,
ipl2015_17,48,1,1431,18,18,1,43,33.27906977,100.00,18,0,10,0,0,1,1,55.6,M Chinnaswamy Stadium,,1,
ipl2015_21,49,1,1482,51,42,1,44,33.68181818,121.43,51,1,11,0,0,4,2,40.5,M Chinnaswamy Stadium,,1,
ipl2015_23,50,1,1544,62,46,0,44,35.09090909,134.78,62,1,12,0,0,1,3,19.6,Sardar Patel Stadium,,14,
ipl2015_27,51,1,1579,35,23,0,44,35.88636364,152.17,35,0,12,0,0,6,0,26.1,Arun Jaitley Stadium,,8,
ipl2015_30,52,1,1580,1,4,1,45,35.11111111,25.00,1,0,12,0,0,0,0,75,M Chinnaswamy Stadium,,1,
ipl2015_34,53,1,1614,34,20,1,46,35.08695652,170.00,34,0,12,0,0,2,3,35,M Chinnaswamy Stadium,,1,
ipl2015_38,54,1,1662,48,44,1,47,35.36170213,109.09,48,0,12,0,0,2,1,38.6,MA Chidambaram Stadium,,2,
ipl2015_41,55,1,1694,32,30,1,48,35.29166667,106.67,32,0,12,0,0,3,1,46.7,M Chinnaswamy Stadium,,1,
ipl2015_46,56,1,1776,82,50,0,48,37,164.00,82,1,13,0,0,6,4,22,Wankhede Stadium,,6,
ipl2015_50,57,1,1795,19,9,1,49,36.63265306,211.11,19,0,13,0,0,2,1,33.3,Punjab Cricket Association IS Bindra Stadium,,3,
ipl2015_52,58,1,1839,44,19,0,49,37.53061224,231.58,44,0,13,0,0,3,3,21.1,Rajiv Gandhi International Stadium,,9,
ipl2015_55,59,1,1840,1,2,0,49,37.55102041,50.00,1,0,13,0,0,0,0,50,M Chinnaswamy Stadium,,1,
ipl2015_58,60,1,1852,12,18,1,50,37.04,66.67,12,0,13,0,0,0,0,44.4,Maharashtra Cricket Association Stadium,,7,
ipl2015_59,61,1,1864,12,9,1,51,36.54901961,133.33,12,0,13,0,0,1,1,55.6,JSCA International Stadium Complex,,10,
ipl2016_04,62,1,1939,75,51,1,52,37.28846154,147.06,75,1,14,0,0,7,3,33.3,M Chinnaswamy Stadium,,1,
ipl2016_11,63,1,2018,79,48,1,53,38.0754717,164.58,79,1,15,0,0,7,3,16.7,M Chinnaswamy Stadium,,1,
ipl2016_14,64,1,2051,33,30,1,54,37.98148148,110.00,33,0,15,0,0,3,0,43.3,Barabati Stadium,,0,
ipl2016_16,65,1,2131,80,63,1,55,38.74545455,126.98,80,1,16,0,0,7,2,38.1,Maharashtra Cricket Association Stadium,,7,
ipl2016_19,66,1,2231,100,63,0,55,40.56363636,158.73,100,0,16,1,1,11,1,19,Saurashtra Cricket Association Stadium,,16,
ipl2016_27,67,1,2245,14,17,1,56,40.08928571,82.35,14,0,16,0,1,1,0,35.3,Rajiv Gandhi International Stadium,,9,
ipl2016_30,68,1,2297,52,44,1,57,40.29824561,118.18,52,1,17,0,1,4,0,22.7,M Chinnaswamy Stadium,,1,
ipl2016_35,69,1,2405,108,58,0,57,42.19298246,186.21,108,0,17,1,2,8,7,22.4,M Chinnaswamy Stadium,,1,
ipl2016_39,70,1,2425,20,21,1,58,41.81034483,95.24,20,0,17,0,2,2,0,42.9,Punjab Cricket Association IS Bindra Stadium,,3,
ipl2016_41,71,1,2432,7,7,1,59,41.22033898,100.00,7,0,17,0,2,0,1,85.7,M Chinnaswamy Stadium,,1,
ipl2016_44,72,1,2541,109,55,1,60,42.35,198.18,109,0,17,1,3,6,8,20,M Chinnaswamy Stadium,,1,
ipl2016_48,73,1,2616,75,51,0,60,43.6,147.06,75,1,18,0,3,5,3,25.5,Eden Gardens,,5,
ipl2016_50,74,1,2729,113,50,1,61,44.73770492,226.00,113,0,18,1,4,12,8,32,M Chinnaswamy Stadium,,1,
ipl2016_56,75,1,2783,54,45,0,61,45.62295082,120.00,54,1,19,0,4,6,0,26.7,Shaheed Veer Narayan Sing International Stadium,,15,
ipl2016_57,76,1,2783,0,2,1,62,44.88709677,0.00,0,0,19,0,4,0,0,100,M Chinnaswamy Stadium,,1,
ipl2016_60,77,1,2837,54,35,1,63,45.03174603,154.29,54,1,20,0,4,5,2,34.3,M Chinnaswamy Stadium,,1,
ipl2017_12,78,1,2899,62,47,1,64,45.296875,131.91,62,1,21,0,4,5,2,31.9,M Chinnaswamy Stadium,,1,
ipl2017_17,79,1,2927,28,19,1,65,45.03076923,147.37,28,0,21,0,4,3,1,42.1,M Chinnaswamy Stadium,,1,
ipl2017_20,80,1,2991,64,50,1,66,45.31818182,128.00,64,1,22,0,4,7,1,34,Saurashtra Cricket Association Stadium,,16,
ipl2017_27,81,1,2991,0,1,1,67,44.64179104,0.00,0,0,22,0,4,0,0,100,Eden Gardens,,5,
ipl2017_31,82,1,3001,10,13,1,68,44.13235294,76.92,10,0,22,0,4,0,1,76.9,M Chinnaswamy Stadium,,1,
ipl2017_34,83,1,3056,55,48,1,69,44.28985507,114.58,55,1,23,0,4,4,1,31.2,Maharashtra Cricket Association Stadium,,7,
ipl2017_38,84,1,3076,20,14,1,70,43.94285714,142.86,20,0,23,0,4,0,2,42.9,Wankhede Stadium,,6,
ipl2017_43,85,1,3082,6,6,1,71,43.4084507,100.00,6,0,23,0,4,1,0,66.7,M Chinnaswamy Stadium,,1,
ipl2017_46,86,1,3087,5,9,1,72,42.875,55.56,5,0,23,0,4,0,0,55.6,M Chinnaswamy Stadium,,1,
ipl2017_56,87,1,3145,58,45,1,73,43.08219178,128.89,58,1,24,0,4,3,3,31.1,Arun Jaitley Stadium,,8,
ipl2018_03,88,1,3176,31,33,1,74,42.91891892,93.94,31,0,24,0,4,1,1,39.4,Eden Gardens,,5,
ipl2018_08,89,1,3197,21,16,1,75,42.62666667,131.25,21,0,24,0,4,4,0,43.8,M Chinnaswamy Stadium,,1,
ipl2018_11,90,1,3254,57,30,1,76,42.81578947,190.00,57,1,25,0,4,7,2,23.3,M Chinnaswamy Stadium,,1,
ipl2018_14,91,1,3346,92,62,0,76,44.02631579,148.39,92,1,26,0,4,7,4,24.2,Wankhede Stadium,,6,
ipl2018_19,92,1,3376,30,26,1,77,43.84415584,115.38,30,0,26,0,4,2,1,30.8,M Chinnaswamy Stadium,,1,
ipl2018_24,93,1,3394,18,15,1,78,43.51282051,120.00,18,0,26,0,4,3,0,46.7,M Chinnaswamy Stadium,,1,
ipl2018_29,94,1,3462,68,44,0,78,44.38461538,154.55,68,1,27,0,4,5,3,27.3,M Chinnaswamy Stadium,,1,
ipl2018_31,95,1,3494,32,26,1,79,44.2278481,123.08,32,0,27,0,4,2,1,30.8,M Chinnaswamy Stadium,,1,
ipl2018_35,96,1,3502,8,11,1,80,43.775,72.73,8,0,27,0,4,1,0,54.5,Maharashtra Cricket Association Stadium,,7,
ipl2018_39,97,1,3541,39,30,1,81,43.71604938,130.00,39,0,27,0,4,5,1,40,Rajiv Gandhi International Stadium,,9,
ipl2018_45,98,1,3611,70,40,1,82,44.03658537,175.00,70,1,28,0,4,7,3,27.5,Arun Jaitley Stadium,,8,
ipl2018_48,99,1,3659,48,28,0,82,44.62195122,171.43,48,0,28,0,4,6,2,32.1,Holkar Cricket Stadium,,17,
ipl2018_51,100,1,3671,12,11,1,83,44.22891566,109.09,12,0,28,0,4,2,0,45.5,M Chinnaswamy Stadium,,1,
ipl2018_53,101,1,3675,4,9,1,84,43.75,44.44,4,0,28,0,4,0,0,55.6,Sawai Mansingh Stadium,,4,
ipl2019_01,102,1,3681,6,12,1,85,43.30588235,50.00,6,0,28,0,4,0,0,58.3,MA Chidambaram Stadium,,2,
ipl2019_07,103,1,3727,46,32,1,86,43.3372093,143.75,46,0,28,0,4,6,0,21.9,M Chinnaswamy Stadium,,1,
ipl2019_11,104,1,3730,3,10,1,87,42.87356322,30.00,3,0,28,0,4,0,0,70,Rajiv Gandhi International Stadium,,9,
ipl2019_14,105,1,3753,23,25,1,88,42.64772727,92.00,23,0,28,0,4,3,0,56,Sawai Mansingh Stadium,,4,
ipl2019_17,106,1,3837,84,49,1,89,43.11235955,171.43,84,1,29,0,4,9,2,16.3,M Chinnaswamy Stadium,,1,
ipl2019_20,107,1,3878,41,33,1,90,43.08888889,124.24,41,0,29,0,4,1,2,15.2,M Chinnaswamy Stadium,,1,
ipl2019_28,108,1,3945,67,53,1,91,43.35164835,126.42,67,1,30,0,4,8,0,30.2,Punjab Cricket Association IS Bindra Stadium,,3,
ipl2019_31,109,1,3953,8,9,1,92,42.9673913,88.89,8,0,30,0,4,1,0,55.6,Wankhede Stadium,,6,
ipl2019_35,110,1,4053,100,58,1,93,43.58064516,172.41,100,0,30,1,5,9,4,20.7,Eden Gardens,,5,
ipl2019_39,111,1,4062,9,8,1,94,43.21276596,112.50,9,0,30,0,5,2,0,62.5,M Chinnaswamy Stadium,,1,
ipl2019_42,112,1,4075,13,8,1,95,42.89473684,162.50,13,0,30,0,5,2,0,25,M Chinnaswamy Stadium,,1,
ipl2019_46,113,1,4098,23,17,1,96,42.6875,135.29,23,0,30,0,5,2,1,35.3,Arun Jaitley Stadium,,8,
ipl2019_49,114,1,4123,25,7,1,97,42.50515464,357.14,25,0,30,0,5,1,3,14.3,M Chinnaswamy Stadium,,1,
ipl2019_54,115,1,4139,16,7,1,98,42.23469388,228.57,16,0,30,0,5,2,1,28.6,M Chinnaswamy Stadium,,1,
